Date,Symbol,Open,High,Low,Close,Volume
2018/1/1,2594,65.837,65.837,65.837,65.837,0
2018/1/2,2594,66.07,67.355,65.746,66.647,12714077
2018/1/3,2594,65.766,67.912,65.179,66.92,15190950
2018/1/4,2594,66.799,67.163,65.695,65.837,11841697
2018/1/5,2594,65.685,65.989,64.602,65.159,10487000
2018/1/8,2594,65.382,67.143,65.311,65.999,13674015
2018/1/9,2594,65.989,66.981,65.483,66.212,9430926
2018/1/10,2594,66.394,66.768,65.665,66.465,9426504
2018/1/11,2594,66.778,66.778,65.665,66.191,7629868
2018/1/12,2594,66.454,68.671,66.414,67.892,19597880
2018/1/15,2594,68.064,68.924,65.665,65.928,15189034
2018/1/16,2594,65.28,66.546,65.24,65.584,9591973
2018/1/17,2594,65.463,65.463,63.266,64.521,11652506
2018/1/18,2594,64.957,65.361,63.641,63.934,7370145
2018/1/19,2594,64.37,64.4,63.438,63.965,5237008
2018/1/22,2594,64.451,67.821,64.39,67.406,17265708
2018/1/23,2594,67.446,68.185,66.859,67.618,12351848
2018/1/24,2594,67.861,67.902,66.293,67.315,7641650
2018/1/25,2594,67.325,68.286,66.353,66.434,8083989
2018/1/26,2594,66.434,67.102,65.787,66.293,6355866
2018/1/29,2594,66.677,66.677,63.56,63.661,12521938
2018/1/30,2594,63.641,64.724,63.519,64.218,5587707
2018/1/31,2594,63.813,64.734,63.661,63.803,5429788
2018/2/1,2594,63.813,64.258,60.605,61.394,12698390
2018/2/2,2594,61.333,63.023,60.888,62.649,6972102
2018/2/5,2594,61.03,62.528,60.969,62.214,4061040
2018/2/6,2594,60.726,61.617,59.208,59.218,10398563
2018/2/7,2594,60.716,61.121,57.72,59.613,8208535
2018/2/8,2594,59.613,60.605,59.218,60.23,4597233
2018/2/9,2594,58.601,59.157,57.012,57.335,9307603
2018/2/12,2594,57.791,60.726,57.791,60.341,8051516
2018/2/13,2594,60.726,61.354,60.028,60.22,5508074
2018/2/14,2594,61.92,62.244,60.928,61.232,5590212
2018/2/15,2594,61.232,61.232,61.232,61.232,0
2018/2/16,2594,61.232,61.232,61.232,61.232,0
2018/2/19,2594,61.232,61.232,61.232,61.232,0
2018/2/20,2594,61.232,61.232,61.232,61.232,0
2018/2/21,2594,61.232,61.232,61.232,61.232,0
2018/2/22,2594,62.73,64.117,62.042,63.074,9741308
2018/2/23,2594,63.094,64.086,62.558,63.56,5983648
2018/2/26,2594,64.653,66.485,64.653,65.695,15611445
2018/2/27,2594,65.28,65.716,64.147,64.228,10065076
2018/2/28,2594,63.985,65.28,63.428,64.278,7737117
2018/3/1,2594,63.712,64.208,63.256,64.036,7493469
2018/3/2,2594,63.266,64.127,63.125,63.631,5927689
2018/3/5,2594,63.762,66.697,63.671,65.908,14950507
2018/3/6,2594,65.918,67.608,65.584,67.386,14968593
2018/3/7,2594,66.799,67.295,65.28,65.311,9494193
2018/3/8,2594,65.594,66.384,64.886,65.655,6430185
2018/3/9,2594,65.787,66.596,65.149,66.343,8751471
2018/3/12,2594,66.829,67.973,66.313,67.659,13719565
2018/3/13,2594,67.659,68.317,66.475,66.799,11811185
2018/3/14,2594,66.495,66.687,65.139,65.139,9978066
2018/3/15,2594,64.795,66.232,64.795,65.483,7805325
2018/3/16,2594,65.523,66.282,64.977,65.007,6841467
2018/3/19,2594,65.027,65.635,64.673,65.027,5023529
2018/3/20,2594,64.471,64.471,62.75,63.56,10842684
2018/3/21,2594,63.752,64.592,63.155,63.357,8334041
2018/3/22,2594,63.712,63.955,62.649,63.347,5897749
2018/3/23,2594,60.696,62.689,59.511,60.2,12822271
2018/3/26,2594,59.704,61.232,58.702,61.131,8401212
2018/3/27,2594,61.839,62.345,61.455,62.042,7205320
2018/3/28,2594,55.838,58.742,55.838,56.87,33011758
2018/3/29,2594,56.384,56.981,55.17,56.667,14004222
2018/3/30,2594,57.568,57.669,56.688,56.981,8090050
2018/4/2,2594,57.184,57.244,56.273,56.344,8326611
2018/4/3,2594,55.666,55.666,54.35,54.927,12363418
2018/4/4,2594,55.21,56.02,55.008,55.483,8153662
2018/4/5,2594,55.483,55.483,55.483,55.483,0
2018/4/6,2594,55.483,55.483,55.483,55.483,0
2018/4/9,2594,55.564,57.669,55.564,57.022,11984061
2018/4/10,2594,57.012,58.449,56.556,57.346,10846948
2018/4/11,2594,57.386,57.558,56.475,56.809,7456937
2018/4/12,2594,56.829,57.072,56.475,56.576,5243763
2018/4/13,2594,56.89,57.082,56.141,56.273,4133347
2018/4/16,2594,56.172,56.748,55.362,55.585,5304659
2018/4/17,2594,55.787,55.969,54.157,54.238,7227299
2018/4/18,2594,54.856,54.957,52.609,54.097,9204701
2018/4/19,2594,54.006,54.856,53.672,54.522,5136294
2018/4/20,2594,54.653,54.653,52.73,52.892,5854371
2018/4/23,2594,52.872,53.834,52.73,53.591,5392605
2018/4/24,2594,53.52,54.755,53.52,54.734,5542609
2018/4/25,2594,54.512,54.846,54.249,54.491,4487094
2018/4/26,2594,54.562,54.755,53.135,53.166,5253581
2018/4/27,2594,53.753,54.026,53.176,53.601,4199609
2018/4/30,2594,53.601,53.601,53.601,53.601,0
