Date,Symbol,Open,High,Low,Close,Volume
2018/1/1,601633,39.553,39.553,39.553,39.553,0
2018/1/2,601633,39.931,42.41,39.656,42.169,26588018
2018/1/3,601633,41.894,42.685,41.722,42.479,19954871
2018/1/4,601633,42.341,42.617,41.79,42.444,14156115
2018/1/5,601633,42.444,42.857,41.79,42.72,12596454
2018/1/8,601633,42.72,44.544,42.72,44.062,23757258
2018/1/9,601633,44.028,44.407,43.408,44.062,16395581
2018/1/10,601633,42.41,42.789,41.446,42.272,28642692
2018/1/11,601633,41.962,42.307,41.308,42.066,9625979
2018/1/12,601633,42.031,42.617,41.928,42.135,9916382
2018/1/15,601633,42.169,42.341,41.584,41.722,7999513
2018/1/16,601633,41.722,41.997,41.412,41.756,8548926
2018/1/17,601633,41.722,42.479,41.171,42.41,9098711
2018/1/18,601633,42.307,42.307,41.377,41.549,12542089
2018/1/19,601633,41.446,42.031,41.308,41.515,8424800
2018/1/22,601633,41.481,42.238,41.412,41.928,7248246
2018/1/23,601633,41.928,42.72,41.825,42.651,7249887
2018/1/24,601633,42.685,42.789,42.031,42.341,5218136
2018/1/25,601633,42.444,43.202,42.135,42.789,9139311
2018/1/26,601633,42.857,43.649,42.685,43.098,6310837
2018/1/29,601633,43.03,43.993,42.548,43.064,14794601
2018/1/30,601633,42.72,43.236,41.653,41.894,9846011
2018/1/31,601633,41.997,42.238,40.964,42.031,8781369
2018/2/1,601633,41.962,42.617,40.758,42.479,19994708
2018/2/2,601633,42.272,42.72,41.343,42.582,7741189
2018/2/5,601633,42.238,42.892,41.825,42.41,7571919
2018/2/6,601633,41.928,42.513,41.618,42.41,13523169
2018/2/7,601633,42.41,43.271,41.653,42.444,9333476
2018/2/8,601633,42.272,42.892,41.653,42.41,7555374
2018/2/9,601633,41.687,42.479,40,42.41,12265078
2018/2/12,601633,42.169,42.203,40.964,41.584,4639031
2018/2/13,601633,41.584,41.997,40.999,40.999,6227500
2018/2/14,601633,40.62,41.171,40.586,40.93,2203911
2018/2/15,601633,40.93,40.93,40.93,40.93,0
2018/2/16,601633,40.93,40.93,40.93,40.93,0
2018/2/19,601633,40.93,40.93,40.93,40.93,0
2018/2/20,601633,40.93,40.93,40.93,40.93,0
2018/2/21,601633,40.93,40.93,40.93,40.93,0
2018/2/22,601633,41.274,41.343,40.93,41.205,2802274
2018/2/23,601633,41.274,41.997,41.067,41.997,4396785
2018/2/26,601633,44.751,46.128,43.03,43.856,27524837
2018/2/27,601633,43.58,44.751,43.202,44.028,14770387
2018/2/28,601633,44.062,44.338,43.236,44.2,12048693
2018/3/1,601633,43.718,44.234,43.408,44.028,8442261
2018/3/2,601633,44.028,44.028,43.202,43.408,6930689
2018/3/5,601633,43.477,43.684,43.03,43.649,5764379
2018/3/6,601633,43.546,43.787,43.236,43.374,5996229
2018/3/7,601633,43.374,43.58,42.444,42.823,7739601
2018/3/8,601633,42.513,42.823,42.1,42.617,5974800
2018/3/9,601633,42.169,42.617,41.997,42.548,7936247
2018/3/12,601633,42.307,43.236,42.272,43.098,10537502
2018/3/13,601633,42.995,43.305,42.789,42.995,6829066
2018/3/14,601633,42.582,42.754,42.135,42.582,5730156
2018/3/15,601633,42.272,42.857,42.203,42.513,4590701
2018/3/16,601633,42.479,42.857,41.997,42.272,4528903
2018/3/19,601633,42.272,42.41,41.997,42.203,3372403
2018/3/20,601633,42.272,42.272,41.308,41.584,7763163
2018/3/21,601633,41.584,41.79,41.24,41.24,5934529
2018/3/22,601633,41.136,41.481,40.792,41.033,4472106
2018/3/23,601633,40.482,40.482,38.314,38.864,8617882
2018/3/26,601633,38.245,39.656,37.694,39.518,8455265
2018/3/27,601633,39.518,39.759,39.312,39.381,5636423
2018/3/28,601633,39.243,39.622,38.314,39.587,6175789
2018/3/29,601633,39.484,39.518,38.83,39.209,5885944
